term,count
agroecological practices,93
agroecological transitions,80
raíces tubérculos,68
collective action,65
las variedades,61
food security,58
opportunity spaces,57
private sector,56
método celdas,53
ucayali una,52
tubérculos ucayali,51
una mirada,51
mirada desde,51
desde método,51
food systems,50
climate change,49
resource management,49
cgiar raíces,49
act framework,47
ecosystem services,46
multifunctional landscapes,44
behavioral change,44
bioversity international,42
agroecological transition,42
value chain,41
las comunidades,41
natural resource,40
minimum tillage,39
las celdas,39
market access,37
food system,36
hogares area,36
value chains,34
natural resources,33
behaviour change,33
celda celda,33
actions outline,33
outline above,33
soil health,32
sex age,31
biological control,30
business model,30
madhya pradesh,30
civil society,29
wheat production,29
celdas cgiar,29
yuca amarilla,29
business models,28
análisis las,28
development partners,27
financial resources,27
social norms,27
grupos focales,27
por cultivo,27
area hogares,27
vision action,26
estas variedades,26
alliance bioversity,25
international ciat,25
farming practices,25
variedades perdidas,25
sustainable agriculture,24
natural farming,24
variedades presentes,24
group discussions,23
society organizations,22
camu camu,22
comunidades indígenas,22
yuca blanca,22
livestock production,21
mbire murehwa,21
lvb landscape,21
pest management,20
sin embargo,20
los sistemas,20
tabla análisis,20
celdas comunidad,20
variedades yuca,20
community nutrition,20
sustainable food,19
farming systems,19
agroecological principles,19
transiciones agroecológicas,19
seguridad alimentaria,19
women men,19
focus group,19
wheat producers,19
mandla district,19
land water,18
research institute,18
digital traceability,18
traditional leaders,18
valor cultural,18
behavioral changes,18
structural subsystems,18
take actions,18
food insecurity,17
key informant,17
informant interviews,17
los productores,17
con los,17
community members,17
seed multiplication,17
sacha papa,17
camote morado,17
western kenya,17
legume seed,17
international center,16
tropical agriculture,16
cgiar cgiar,16
extension services,16
agricultural practices,16
transition pathways,16
actors were,16
sustainable wheat,16
variedades tradicionales,16
community resource,16
contributing agroecological,16
agroecological changes,16
changes mandla,16
adoption improved,15
nature loss,15
world bank,15
sustainable development,15
farmers cooperative,15
policy brief,15
institutional support,15
water management,15
self-help groups,15
governance actors,15
extension support,15
aguas negras,15
pocos hogares,15
cultivo variedades,15
yuca señorita,15
center tropical,14
agriculture ciat,14
urochloa hybrids,14
rural development,14
technical support,14
soil fertility,14
participants were,14
psii project,14
agricultural research,14
sistemas productivos,14
los principios,14
model canvas,14
los resultados,14
pathways sustainable,14
value addition,14
soil water,14
wheat business,14
investment opportunities,14
doyogena ethiopia,14
sinchi roca,14
mariscal cáceres,14
pulpa blanca,14
collective agency,14
feel constrained,14
urochloa hybrid,13
are not,13
organic matter,13
men women,13
practices are,13
international food,13
food policy,13
water scarcity,13
integrated pest,13
security nutrition,13
food agriculture,13
social inclusion,13
global food,13
clave para,13
del suelo,13
cgiar multifunctional,13
government departments,13
local governance,13
behavioural category,13
crop livestock,13
agroecology initiative,13
field days,13
market linkages,13
conservation agriculture,13
future research,13
models exploring,13
exploring agroecological,13
practices investment,13
opportunities doyogena,13
institutional arrangements,13
buenos aires,13
participantes grupos,13
focales variedades,13
presentes por,13
perdidas por,13
distribución estado,13
algunas variedades,13
profile profile,13
lake victoria,13
nutrition gardens,13
actor groups,13
extension systems,13
government actors,13
basin digger,13
part cgiar,12
production systems,12
soil erosion,12
cgiar note,12
smallholder farmers,12
agricultural production,12
policy research,12
extension agents,12
environmental management,12
transitions policy,12
system actors,12
políticas síntesis,12
cacao camu,12
las cooperativas,12
así como,12
government officials,12
women youth,12
forestry commission,12
input suppliers,12
área cultivada,12
variedades las,12
distribución variedades,12
yuca yuca,12
cultural social,12
las inundaciones,12
amarilla yuca,12
las familias,12
agroecological produce,12
actor types,12
actions contributing,12
saaf countries,11
economic benefits,11
soil organic,11
agricultural systems,11
biodiversity conservation,11
biodiversity loss,11
landscapes science,11
sustainable practices,11
colpa loros,11
adopting agroecological,11
producer organizations,11
sector incentives,11
incentives investments,11
gender equity,11
available here,11
jonathan mockshell,11
agricultural development,11
agroecological metrics,11
traceability system,11
principal scientist,11
ministry agriculture,11
transición agroecológica,11
mientras que,11
farmer producer,11
output indicators,11
exchange visits,11
women affairs,11
behavior change,11
improved farming,11
governance structures,11
crop rotation,11
soil tillage,11
wheat sector,11
tres mayo,11
que las,11
entre las,11
participantes mujeres,11
mujeres hombres,11
tres mesinas,11
estado las,11
variedades existentes,11
existentes comunidad,11
blanca yuca,11
yuca añera,11
tabla mapa,11
mapa distribución,11
las cuatro,11
cuatro celdas,11
celdas celda,11
celda hogares,11
amenazas factores,11
factores cambio,11
comunidad participantes,11
camote blanco,11
performance lvb,11
district madhya,11
agroecological initiatives,11
resource persons,11
above actions,11
was conducted,10
land degradation,10
multifunctional landscape,10
management practices,10
food production,10
training sessions,10
cover crops,10
interview guide,10
