term,count
raíces tubérculos ucayali,51
tubérculos ucayali una,51
ucayali una mirada,51
una mirada desde,51
mirada desde método,51
desde método celdas,51
cgiar raíces tubérculos,49
actions outline above,33
natural resource management,31
método celdas cgiar,28
hogares area hogares,27
area hogares area,27
análisis las celdas,26
bioversity international ciat,25
alliance bioversity international,23
civil society organizations,22
celda celda celda,22
tabla análisis las,20
las celdas comunidad,20
key informant interviews,17
focus group discussions,16
contributing agroecological changes,16
agroecological changes mandla,16
international center tropical,14
center tropical agriculture,14
tropical agriculture ciat,14
sustainable food systems,14
food security nutrition,13
pathways sustainable wheat,13
sustainable wheat business,13
wheat business models,13
business models exploring,13
models exploring agroecological,13
exploring agroecological practices,13
agroecological practices investment,13
practices investment opportunities,13
investment opportunities doyogena,13
opportunities doyogena ethiopia,13
participantes grupos focales,13
grupos focales variedades,13
focales variedades presentes,13
variedades presentes por,13
presentes por cultivo,13
por cultivo variedades,13
cultivo variedades perdidas,13
variedades perdidas por,13
perdidas por cultivo,13
community nutrition gardens,13
take actions outline,13
international food policy,12
food policy research,12
policy research institute,12
integrated pest management,12
agroecological transitions policy,12
cacao camu camu,12
business model canvas,12
cgiar multifunctional landscapes,12
valor cultural social,12
profile profile profile,12
actions contributing agroecological,12
multifunctional landscapes science,11
private sector incentives,11
transitions policy brief,11
participantes mujeres hombres,11
distribución estado las,11
estado las variedades,11
las variedades existentes,11
variedades existentes comunidad,11
tabla mapa distribución,11
mapa distribución variedades,11
distribución variedades las,11
variedades las cuatro,11
las cuatro celdas,11
cuatro celdas celda,11
celdas celda celda,11
celda celda hogares,11
las variedades yuca,11
amenazas factores cambio,11
comunidad participantes grupos,11
mandla district madhya,11
district madhya pradesh,11
community resource persons,11
sector incentives investments,10
salud del suelo,10
los sistemas productivos,10
ema forestry commission,10
ministry women affairs,10
natural resources management,10
performance lvb landscape,10
perceived behavioral control,10
outline above actions,10
above actions contributing,10
zero budget natural,9
budget natural farming,9
incentives investments psii,9
food agriculture organization,9
políticas síntesis transiciones,9
síntesis transiciones agroecológicas,9
farmer producer organizations,9
field days exchange,9
days exchange visits,9
ecosystem services disservices,9
livestock production technologies,9
note minimum tillage,9
soil tillage res,9
tillage res vol,9
amecho seed multiplication,9
seed multiplication cooperative,9
source own elaboration,9
variedades perdidas comunidad,9
variedades tradicionales yuca,9
celda hogares area,9
celdas cgiar raíces,9
celdas cgiar cgiar,9
cgiar cgiar raíces,9
interviews focus group,9
partnership food-secure future,8
world bank group,8
bioversity international international,8
international international center,8
sino que también,8
producer organizations fpos,8
food system transformation,8
value chain actors,8
awareness innovation adoption,8
innovation adoption improved,8
improved farming practices,8
financial resources number,8
angacha farmers cooperative,8
comunidades indígenas mestizas,8
método las celdas,8
existentes comunidad comunidad,8
entre las variedades,8
yuca amarilla yuca,8
agroecological transition mandla,8
social norms gender,8
agroecological practicestake actions,8
practicestake actions outline,8
cambodia colombia kenya,7
colombia kenya malawi,7
kenya malawi malaysia,7
malawi malaysia uganda,7
malaysia uganda vietnam,7
uganda vietnam zambia,7
food land water,7
land water systems,7
biodiversity ecosystem services,7
biological control agents,7
leslie estefany mosquera,7
self-help groups shgs,7
sustainable resource management,7
local traditional leaders,7
increased awareness innovation,7
adoption improved farming,7
raíces tubérculos tropicales,7
por cultivo yuca,7
cultivo yuca yuca,7
muy pocos hogares,7
yuca amarilla camote,7
agency behavior change,7
collective action agroecological,7
rural livelihoods mission,7
cgiar initiative agroecology,7
expand opportunity spaces,7
cgiar agroecology initiative,7
norms gender equity,7
changes mandla believe,7
legume seed multiplication,7
contributions cgiar trust,6
cgiar trust fund,6
cgiar global research,6
global research partnership,6
research partnership food-secure,6
greenhouse gas emissions,6
ciat cali colombia,6
address food security,6
phil trans soc,6
sustainable development goals,6
adopting agroecological practices,6
digital traceability system,6
food system actors,6
agronomy sustainable development,6
los productores cacao,6
autoevaluación desempeño agroecológico,6
icrisat patancheru india,6
ceo director technical,6
director technical experts,6
technical experts slna,6
experts slna wdd,6
crop livestock production,6
behaviour change wheel,6
agronomic livestock production,6
extension support financial,6
support financial resources,6
awareness ecosystem services,6
knowledge agronomic practices,6
holding trainings demos,6
sex age increased,6
age increased awareness,6
summary business model,6
serara farmers cooperative,6
adoption agroecological practices,6
management act chapter,6
mbire natural resources,6
comunidades indígenas ribereñas,6
del área cultivada,6
diversidad raíces tubérculos,6
dos grupos focales,6
hogares área hogares,6
área hogares área,6
yuca tres mesinas,6
todas las variedades,6
reducción del área,6
sacha papa morada,6
camote morado camote,6
hogares area yuca,6
pss- pss- pss-,6
lake victoria basin,6
madhya pradesh india,6
nutrition gardens cngs,6
agency opportunity spaces,6
agroecological living lab,6
external environmental barriers,6
traditional ecological knowledge,6
individual collective agency,6
agroecological transitions mandla,6
taking actions outline,6
feel constrained lack,6
msekera research station,6
afap pelum ministry,6
pelum ministry agriculture,6
licensed creative commons,5
creative commons attribution,5
trust fund cgiar,5
adoption saaf countries,5
forage crop value,5
organizations private sector,5
sustainable agricultural practices,5
platform biodiversity ecosystem,5
agron sustain dev,5
sustainable agriculture food,5
agriculture food systems,5
diversified farming systems,5
international fund agricultural,5
fund agricultural development,5
holistic digital traceability,5
global food security,5
global food system,5
concept note identifying,5
note identifying features,5
identifying features public,5
features public agricultural,5
public agricultural research,5
agricultural research mainstream,5
research mainstream agroecology,5
mainstream agroecology multifunctional,5
agroecology multifunctional landscapes,5
programa transiciones agroecológicas,5
para transición agroecológica,5
business agroecology criteria,5
agroecology criteria tool,5
figura autoevaluación desempeño,5
gobernanza tierra recursos,5
fao food agriculture,5
agriculture organization united,5
organization united nations,5
agricultura tropical ciat,5
scientist natural resource,5
resource management icrisat,5
land resource inventory,5
effective natural resource,5
private sector actors,5
achieve farming excellence,5
knowledge financial resources,5
women economic empowerment,5
production processing marketing,5
processing marketing operations,5
agronomic practices extension,5
practices extension support,5
conducting field days,5
adoption improved agronomic,5
improved agronomic livestock,5
shifting mindsets toward,5
mindsets toward entrepreneurship,5
farming practices holding,5
practices holding trainings,5
soil organic carbon,5
soil water conservation,5
tool agroecological practices,5
wheat faba bean,5
parks wildlife management,5
resources management committee,5
sinchi roca mariscal,5
roca mariscal cáceres,5
tubérculos tropicales subutilizados,5
con las comunidades,5
del sistema agrícola,5
cultural social yuca,5
factores cambio las,5
yuca señorita yuca,5
