pdf_name,txt_name,total_pages,non_empty_pages,total_chars,avg_chars_per_page
"Adoption_of_Urochloa_hybrid_improved_forage_grasses_by_farmers_within_Cambodia,_Colombia,_Kenya,_Malawi,_Malaysia,_Uganda,_Vietnam,_and_Zambia.pdf","Adoption_of_Urochloa_hybrid_improved_forage_grasses_by_farmers_within_Cambodia,_Colombia,_Kenya,_Malawi,_Malaysia,_Uganda,_Vietnam,_and_Zambia.txt",9,9,19941,2215.67
Agro-silvo-pastoralism.pdf,Agro-silvo-pastoralism.txt,8,8,20417,2552.12
Beyond_yields_A_systems_approach_is_essential_for_reconciling_agriculture_and_biodiversity.pdf,Beyond_yields_A_systems_approach_is_essential_for_reconciling_agriculture_and_biodiversity.txt,4,4,23549,5887.25
Biocontrol.pdf,Biocontrol.txt,8,8,22049,2756.12
Bundled_agroecological_cacao_production_practices_fertilizer_and_sustainable_practices_training_benefits_over_200_organic_producers..pdf,Bundled_agroecological_cacao_production_practices_fertilizer_and_sustainable_practices_training_benefits_over_200_organic_producers..txt,4,4,13691,3422.75
Co-development_enables_holistic_digital_traceability_of_sustainability._The_case_of_Peruvian_cocoa.pdf,Co-development_enables_holistic_digital_traceability_of_sustainability._The_case_of_Peruvian_cocoa.txt,12,12,36182,3015.17
Concept_note_for_identifying_features_of_public_agricultural_research_to_mainstream_agroecology_in_multifunctional_landscapes.pdf,Concept_note_for_identifying_features_of_public_agricultural_research_to_mainstream_agroecology_in_multifunctional_landscapes.txt,7,7,6714,959.14
"Explorando_los_modelos_de_negocio_para_las_transiciones_agroecológicas_en_los_cultivos_de_cacao_y_camu_camu_en_Ucayali,_Perú.pdf","Explorando_los_modelos_de_negocio_para_las_transiciones_agroecológicas_en_los_cultivos_de_cacao_y_camu_camu_en_Ucayali,_Perú.txt",10,10,37422,3742.2
Exposure_visit_of_Government_officials_to_witness_the_revitalization_of_traditional_water-harvesting_haveli_systems_at_the_Bhadokhar_Haveli_in_the_Tahrauli_cluster.pdf,Exposure_visit_of_Government_officials_to_witness_the_revitalization_of_traditional_water-harvesting_haveli_systems_at_the_Bhadokhar_Haveli_in_the_Tahrauli_cluster.txt,9,9,12505,1389.44
"From_vision_to_action_(V2A)_Advancing_sustainable_management_of_multifunctional_landscapes_in_Akole,_Maharashtra_(India).pdf","From_vision_to_action_(V2A)_Advancing_sustainable_management_of_multifunctional_landscapes_in_Akole,_Maharashtra_(India).txt",14,14,29400,2100.0
Gaps_in_the_vision_to_action_process_conducted_in_Zimbabwe.pdf,Gaps_in_the_vision_to_action_process_conducted_in_Zimbabwe.txt,37,36,100680,2721.08
Minimum_tillage.pdf,Minimum_tillage.txt,8,8,19996,2499.5
"Pathways_to_Sustainable_Wheat_Business_Models_Exploring_agroecological_practices_and_investment_opportunities_in_Doyogena,_Ethiopia.pdf","Pathways_to_Sustainable_Wheat_Business_Models_Exploring_agroecological_practices_and_investment_opportunities_in_Doyogena,_Ethiopia.txt",32,31,74422,2325.69
"Policy_engagement_report_Institutionalizing_multifunctional_landscapes_in_Mbire_District,_Zimbabwe.pdf","Policy_engagement_report_Institutionalizing_multifunctional_landscapes_in_Mbire_District,_Zimbabwe.txt",13,12,27442,2110.92
Raíces_y_tubérculos_en_Ucayali_una_mirada_desde_el_método_5_celdas.pdf,Raíces_y_tubérculos_en_Ucayali_una_mirada_desde_el_método_5_celdas.txt,53,53,107911,2036.06
Scientists_develop_new_digital_tools_for_enhancing_water_management_in_a_changing_climate.pdf,Scientists_develop_new_digital_tools_for_enhancing_water_management_in_a_changing_climate.txt,5,5,9112,1822.4
Soils_of_ILRI’s_Kapiti_Research_Station_and_Wildlife_Conservancy.pdf,Soils_of_ILRI’s_Kapiti_Research_Station_and_Wildlife_Conservancy.txt,1,1,3636,3636.0
Synthesis_report_on_the_evidence_of_the_multifunctional_performance_of_LVB_landscape.pdf,Synthesis_report_on_the_evidence_of_the_multifunctional_performance_of_LVB_landscape.txt,13,12,24644,1895.69
"Understanding_behavioral_changes_towards_agroecological_transitions_A_case_study_from_Mandla,_India.pdf","Understanding_behavioral_changes_towards_agroecological_transitions_A_case_study_from_Mandla,_India.txt",90,90,257122,2856.91
Water_&amp;_Soil_Accelerator_Program_Training_report.pdf,Water_&amp;_Soil_Accelerator_Program_Training_report.txt,25,25,22179,887.16
